doi,title,abstract
10.1101/2022.12.30.22284073,"Prognostic nutrition index, neutrophil-to-lymphocyte ratio and platelet-to-lymphocyte ratio combined detection, superior to single detection correlates with prognosis of patients with chronic hepatitis C-associated cirrhosis complicated by T2DM","BackgroundPrognostic nutrition index (PNI), Neutrophil-to-Lymphocyte Ratio (NLR) and Platelet-to-Lymphocyte Ratio (PLR) have been studied widely in cancer diseases. However, their correlation with chronic hepatitis C-associated cirrhosis complicated by T2DM mellitus is unknown.

AimTo investigate the correlation of PNI, NLR and PLR with chronic hepatitis C-associated cirrhosis complicated by T2DM.They were associated with the prognosis of patients.

MethodsWe investigated 226 patients. Of the patients, 56 cases were with chronic hepatitis C-associated cirrhosis complicated by T2DM mellitus patients (group A), 85 cases were with chronic hepatitis C-associated cirrhosis patients (group B), and 85 cases were with T2DM patients (group C). According to the prognosis of chronic hepatitis C-associated cirrhosis complicated by T2DM after 6 months of treatment, patients were divided into poor prognosis (23 cases) and good prognosis (33 cases). The baseline data and of all patients were analyzed. All data were collected from the database of the hospital patient electronic medical record system.

ResultsA comparison of baseline data among the three groups showed significant differences in age (P value=0.008). The levels of PNI were obvious difference in three groups (P value < 0.01). The level of NLR in the group A was significantly lower than in the group C. The level of NLR in the group B was significantly lower than in the group C and the group A. The level of PNI in the group A was significantly lower than in the group C. The level of PNI in the group A was significantly lower than in the group B. The level of PLR in the group A was significantly lower than in the group C. The level of PLR in the group B was significantly higher than in the group C. NLR, PNI, PLR were significantly different in the good prognosis group and the poor prognosis group (P value < 0.05). We calculated AUC for combined determination of PNI, NLR and PLR, and it showed excellent diagnostic performance (AUC = 0.911,95% CI 0.741-0.985, Sensitivity = 80.00 %, and Specificity = 88.89%).

ConclusionsPNI, NLR and PLR were closely related to the prognosis of chronic hepatitis C-associated cirrhosis complicated by T2DM, and their combined detection had the highest specificity and sensitivity for early prediction of the poor prognosis of chronic hepatitis C-associated cirrhosis complicated by T2DM, which had important clinical value."
10.1101/2020.10.28.20221986,Impacts of Teaching Modality on U.S. COVID-19 Spread in Fall 2020 Semester,"We study the impact of college reopening in Fall 2020 on county-level COVID-19 cases and deaths using the information of 1,076 randomly chosen four- and two-year undergraduate degree-granting colleges from the National Center for Education Statistics. These institutions include public, private nonprofit, and for profit schools from 50 US states and the District of Columbia. We match college and county characteristics using several methods and calculate the average treatment effects of three teaching modalities: in-person, online, and hybrid on COVID-19 outcomes up to two months after college reopening. In pairwise comparison, colleges reopened with in-person teaching mode were found to have about 35 percentage points more cases within 15 days of reopening, compared to those that reopened online, and the gap widens over time at a decreasing rate. Death rates follow the pattern with a time lag. However, colleges with hybrid mode reach up to the rates of in-person mode after some time. We also find that greater endowment and student population, bigger class size, and fewer Republican voters in the county are major predictors of choosing remote teaching modes over in-person."
10.1101/2020.12.01.20241570,Correcting the Reproduction Number for Time-Varying Tests: a Proposal and an Application to COVID-19 in France,"We provide a novel way to correct the effective reproduction number for the time-varying amount of tests, using the acceleration index (Baunez et al., 2021) as a simple measure of viral spread dynamics. Not correcting results in the reproduction number being a biased estimate of viral acceleration and we provide a formal decomposition of the resulting bias, involving the useful notions of test and infectivity intensities. When applied to French data for the COVID-19 pandemic (May 13, 2020 - October 26, 2022), our decomposition shows that the reproduction number, when considered alone, characteristically underestimates the resurgence of the pandemic, compared to the acceleration index which accounts for the time-varying volume of tests. Because the acceleration index aggregates all relevant information and captures in real time the sizable time variation featured by viral circulation, it is a more parsimonious indicator to track the dynamics of an infectious disease outbreak in real time, compared to the equivalent alternative which would combine the reproduction number with the test and infectivity intensities.

JEL Classification NumbersI18; H12"
10.1101/2022.12.30.22283726,"Attitudes towards booster, testing and isolation, and their impact on COVID-19 response in winter 2022/2023 in France, Belgium, and Italy","European countries are focusing on testing, isolation, and boosting strategies to counter the 2022/2023 winter surge due to Omicron subvariants. However, widespread pandemic fatigue and limited compliance potentially undermine mitigation efforts. To establish a baseline for interventions, we ran a multicountry survey to assess respondents willingness to receive booster vaccination and comply with testing and isolation mandates. The vast majority of survey participants (N=4,594) was willing to adhere to testing (>91%) and rapid isolation (>88%) across the three countries. Pronounced differences emerged in the declared senior adherence to booster vaccination (73% in France, 94% in Belgium, 86% in Italy). Next, we inferred the vaccine-induced population immunity profile at the winter start from prior vaccination data, immunity waning, and declared booster uptake. Integrating survey and estimated immunity data in a branching process epidemic spreading model, we evaluated the effectiveness and costs of current protocols in France, Belgium, and Italy to manage the winter wave. Model results estimate that testing and isolation protocols would confer significant benefit in reducing transmission (17-24%) with declared adherence. Achieving a mitigating level similar to the French protocol, the Belgian protocol would require 30% fewer tests and avoid the long isolation periods of the Italian protocol (average of 6 days vs. 11). A cost barrier to test would significantly decrease adherence in France and Belgium, undermining protocols effectiveness. Simpler mandates for isolation may increase awareness and actual compliance, reducing testing costs, without compromising mitigation. High booster vaccination uptake remains key for the control of the winter wave."
10.1101/2023.01.03.23284153,Diagnostic testing in people with primary ciliary dyskinesia: an international participatory study,"Diagnostic tests are important in primary ciliary dyskinesia (PCD), a rare disease, to confirm the diagnosis and characterize the disease. We compared diagnostic tests for PCD between countries worldwide, assessed whether people with PCD recall their tests, and identified factors associated with the use of tests. We used cross-sectional data from COVID-PCD--an international participatory cohort study collecting information directly from people with PCD. The baseline questionnaire inquired about tests used for PCD diagnosis. Using logistic regression, we investigated factors associated with measurement of nasal nitric oxide (nNO), biopsy for electron or video microscopy, and genetic testing. We included data from 747 participants (60% females) from 49 countries worldwide with median age 27 (interquartile range 12-44). Most (92%) reported diagnostic tests for PCD. Participants reported measurements of nNO (342; 49%), biopsy samples (561; 75%), and genetic tests (435; 58%). The reported use of individual tests, such as genetics, varied between countries from 38% in Switzerland to 68% in North America. Participant recall of test type also differed between countries with lowest recall in Switzerland. One-third (232; 36%) of participants reported all three tests (nNO, biopsy, and genetics). Recently diagnosed people reported more tests [nNO odds ratio (OR) 2.2, 95% Confidence Interval (CI) 1.5-3.2; biopsy OR 3.2, 95%CI 2.1-4.9; genetics OR 4.7, 95%CI 3.2-6.9] and those with situs abnormalities fewer tests (nNO OR 0.5, 95%CI 0.4-0.7; biopsy OR 0.5, 95%CI 0.4-0.8; genetics OR 0.7, 95%CI 0.5-0.94). Our results indicate PCD diagnostic testing differed widely around the world and many patients received incomplete diagnostic work-up based only on clinical features or single tests. People diagnosed long ago and those with situs abnormalities possibly benefit from supplementary testing to refine their diagnosis as a prerequisite for personalized medicine."
10.1101/2022.12.31.22284091,Machine Learning Algorithms to Fight the COVID-19 Pandemic,"The ongoing novel COVID-19 global pandemic is one of the health emergencies in 21st century after hundred years of Spanish flu that affected almost all the countries in the world. The objective of this study is to generate STM and LTM real-time out of sample forecasts of the future COVID-19 confirmed and death cases respectively for the top five mostly affected countries in the world namely USA, India, Brazil, Russia and UK. As of January 17, 2021, it has caused a pandemic outbreak with more than 94.5 million confirmed cases and more than 2 million reported deaths worldwide. Due to extreme robust behaviour in the univariate time series data, forecasting of both COVID-19 confirmed and death cases has become the exigent task for the government officials, healthcare workers, economists, corporate leaders, government, decision makers, public-policy makers, and scientific experts to allocate health resources. To solve this problem different hybrid approaches are applied which eliminate both linear and non-linear errors of the time series datasets and the predictions of for these countries will be practical to act as forewarning for all."
10.1101/2023.01.12.23284503,Peri- and Post-natal Risk Factors Associated with Health of Newborns,"Designing prophylactic strategies for newborns requires understanding of the factors that contribute to immunity and resistance to infection. We analyzed 1,892,035 mother-newborn pairs in which both the mother and newborn were observed continuously for at least one year before and after birth. As part of this study, we considered maternal exposures to infections and immune disorders during pregnancy, exposures to anti-infection medications by both mother and newborn, as well as the newborns delivery type and reported complications. According to our analyses, infection rates and immune disorder rates were over-dispersed among newborns. The most consequential factors predicting newborns immune health were preterm birth, with 276.3% and 193.9% risk increases for newborn bacterial infections. Newborn anti-infective prescriptions were associated with considerable increases in risk of diseases affecting immune health, while maternal prescriptions were associated with fewer outcomes and with mixed signs. The Cesarean section mode of delivery, the mothers age, the sex of the newborn, and the mothers exposure to infections all showed significant but smaller effects on the newborns immune health. Female newborn appeared to be better protected against diseases with immune system etiology, except for miscellaneous infections."
10.1101/2023.01.15.23284550,Genetically proxied inhibition of L-2-hydroxyglutarate dehydrogenase reduces the risk of coronary artery disease: A Mendelian randomization study,"BackgroundL-2-hydroxyglutarate dehydrogenase (L2HGDH) deletion-induced L-2-hydroxyglutarate accumulation plays a cardioprotective role in hypoxic conditions. However, there has been no causal evidence in real-world clinical data. We aimed to examine the causal effects of L2HGDH inhibition on coronary artery disease (CAD) and myocardial infarction (MI) using Mendelian randomization (MR) analysis.

MethodsWe used nine L2HGDH-proxied genetic variants associated with blood 2-hydroxyglutarate levels as genetic instruments, and performed two-sample MR analysis using the CARDIoGRAMplusC4D meta-analysis datasets of CAD (60,801 CAD cases and 123,504 controls) and MI (34,541 MI cases and 261,984 controls).

ResultsGenetically proxied inhibition of L2HGDH associated with 2-hydroxyglutarate levels potentially decreased the risk of CAD (odds ratio [OR] 0.486, 95% confidence interval [CI] 0.242-0.977, P=0.043) but was not associated with the risk of MI (OR 0.676, 95% CI 0.312-1.463, P=0.320). This potentially causal association between L2HGDH inhibition and CAD was unlikely to be biased by horizontal pleiotropy, whereas there might be a weak instrument bias.

ConclusionOur MR analysis suggests the potential association between genetically proxied inhibition of L2HGDH and CAD. Our findings may have therapeutic implications for L2HGDH inhibitors in CAD, and further large-scale clinical studies are needed."
10.1101/2023.01.15.23284576,Daily exposure to PM2.5 and 1.5 million deaths: A time-stratified case-crossover analysis in the Mexico City Metropolitan Area,"BackgroundSatellite-based PM2.5 predictions are being used to advance exposure science and air-pollution epidemiology in developed countries; including emerging evidence about the impacts of PM2.5 on acute health outcomes beyond the cardiovascular and respiratory systems, and the potential modifying effects from individual-level factors in these associations. Research on these topics is lacking in Latin America.

MethodsWe used a time-stratified case-crossover study design with 1,479,950 non-accidental deaths from Mexico City Metropolitan Area for the period of 2004-2019. Daily 1x1 km PM2.5 (median=23.4 g/m3; IQR=13.6 g/m3) estimates from our satellite-based regional model were employed for exposure assessment at the sub-municipality level. Associations between PM2.5 with broad-category (organ-system) and cause-specific mortality outcomes were estimated with distributed lag conditional logistic models. We also fit models stratifying by potential individual-level effect modifiers including; age, sex, and individual SES-related characteristics namely: education, health insurance coverage, and job categories.

ResultsPM2.5 exposure was associated with higher total non-accidental, cardiovascular, cerebrovascular, respiratory, and digestive mortality. A 10-g/m3 PM2.5 higher cumulative exposure over one week (lag06) was associated with higher cause-specific mortality outcomes including hypertensive disease [2.28% (95%CI: 0.26%-4.33%)], acute ischemic heart disease [1.61% (95%CI: 0.59%-2.64%)], other forms of heart disease [2.39% (95%CI: -0.35%-5.20%)], hemorrhagic stroke [3.63% (95%CI: 0.79%-6.55%)], influenza and pneumonia [4.91% (95%CI: 2.84%-7.02%)], chronic respiratory disease [2.49% (95%CI: 0.71%-4.31%)], diseases of the liver [1.85% (95%CI: 0.31%-3.41%)], and renal failure [3.48% (95%CI: 0.79%-6.24%)]. No differences in effect size of associations were observed between SES strata.

ConclusionsExposure to PM2.5 was associated with mortality outcomes beyond the cardiovascular and respiratory systems, including specific death-causes from the digestive and genitourinary systems, with no indications of effect modification by individual SES-related characteristics."
10.1101/2023.01.27.23285126,Agent-based modeling and phylogenetic analysis suggests that COVID-19 will remain a low-severity albeit highly transmissible disease,"The ongoing COVID-19 pandemic is still producing hundreds of thousands of cases worldwide. However, the currently dominant Omicron variant (and its sub-variants) have proven to be less virulent than previous dominant variants, resulting in proportionately fewer severe cases, hospitalizations and deaths. Nonetheless, a persistent concern is that new mutations of the SARS-CoV-2 virus may yet produce more virulent variants. In the present study we provide evidence supporting the hypothesis that this is unlikely, and that COVID-19 will remain a low-severity although highly transmissible disease. Three complementary pieces of evidence support our argument. First, empirical observations suggest that the transmission advantage that Omicron (sub)variants enjoy is in large part due to their cell tropism in the upper respiratory tract, which renders them less virulent. Second, when a negative link between transmissibility and virulence is included in agent-based epidemiological models, viruses evolve towards lower virulence. Third, genetic diversification of SARS-CoV-2 suggests that epistasis in the Omicron family reduces the diversity of successful variants. Taken together these observations point to a high likelihood that the severity of COVID-19 will remain sufficiently low for an endemic status to be reached, provided that vaccination campaigns and sensible hygiene and social measures continue worldwide, as suggested by the World Health Organization."
